AC_NAME,ST_NAME,AC_TYPE,REGION,GEOSTATUS,FACTOR,CCODE,LY_WINNER,LEADS_2014
SUJANPUR,PUNJAB,GENERAL,MAJHA,RURAL,HINDU,19001,BJP,BJP
BHOA,PUNJAB,SC,MAJHA,RURAL,HINDU,19002,BJP,BJP
PATHANKOT,PUNJAB,GENERAL,MAJHA,URBAN,HINDU,19003,BJP,BJP
GURDASPUR,PUNJAB,GENERAL,MAJHA,SEMI-URBAN,MIXED,19004,SAD,BJP
DINA NAGAR,PUNJAB,SC,MAJHA,RURAL,MIXED,19005,INC,BJP
QADIAN,PUNJAB,GENERAL,MAJHA,RURAL,MIXED,19006,INC,BJP
BATALA,PUNJAB,GENERAL,MAJHA,SEMI-URBAN,MIXED,19007,INC,BJP
FATEHGARH CHURIAN,PUNJAB,GENERAL,MAJHA,RURAL,SIKH,19009,INC,BJP
DERA BABA NANAK,PUNJAB,GENERAL,MAJHA,RURAL,SIKH,19010,INC,BJP
AJNALA,PUNJAB,GENERAL,MAJHA,RURAL,SIKH,19011,SAD,CONG
RAJA SANSI,PUNJAB,GENERAL,MAJHA,RURAL,SIKH,19012,INC,BJP
MAJITHA,PUNJAB,GENERAL,MAJHA,RURAL,SIKH,19013,SAD,BJP
AMRITSAR NORTH,PUNJAB,GENERAL,MAJHA,URBAN,MIXED,19015,BJP,CONG
AMRITSAR WEST,PUNJAB,GENERAL,MAJHA,URBAN,MIXED,19016,INC,CONG
AMRITSAR CENTRAL,PUNJAB,GENERAL,MAJHA,URBAN,MIXED,19017,INC,CONG
AMRITSAR EAST,PUNJAB,GENERAL,MAJHA,URBAN,MIXED,19018,BJP,CONG
AMRITSAR SOUTH,PUNJAB,GENERAL,MAJHA,URBAN,MIXED,19019,SAD,CONG
ATTARI,PUNJAB,SC,MAJHA,RURAL,SIKH,19020,SAD,CONG
JANDIALA,PUNJAB,SC,MAJHA,RURAL,SIKH,19014,SAD,SAD
TARN TARAN,PUNJAB,GENERAL,MAJHA,SEMI-URBAN,SIKH,19021,SAD,SAD
KHEM KARAN,PUNJAB,GENERAL,MAJHA,RURAL,SIKH,19022,SAD,SAD
PATTI,PUNJAB,GENERAL,MAJHA,RURAL,SIKH,19023,SAD,SAD
KHADOOR SAHIB,PUNJAB,SC,MAJHA,RURAL,SIKH,19024,INC,SAD
BABA BAKALA,PUNJAB,SC,MAJHA,RURAL,SIKH,19025,SAD,SAD
KAPURTHALA,PUNJAB,GENERAL,DOABA,SEMI-URBAN,MIXED,19027,INC,SAD
SULTANPUR LODHI,PUNJAB,GENERAL,DOABA,RURAL,SIKH,19028,INC,SAD
