AC_NAME,ST_NAME,AC_TYPE,REGION,GEOSTATUS,RELSTATUS,PHASE,PC_NAME,CCODE,FACTOR,LY_WINNER,BASTION,BSP_MUSLIM,SHIVPAL_FACTOR,LEADS_2014
BEHAT,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,2,SAHARANPUR,24001,MUSLIM,BSP,0,Y,n,CONG
SAHARANPUR NAGAR,UTTAR PRADESH,GENERAL,WEST,URBAN,MUSLIM,2,SAHARANPUR,24003,MUSLIM,BJP,0,0,n,BJP
SAHARANPUR,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,2,SAHARANPUR,24004,MUSLIM,BSP, ,0,n,CONG
DEOBAND,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,2,SAHARANPUR,24005,MUSLIM,SP,0,Y,Y,BJP
RAMPUR MANIHARAN,UTTAR PRADESH,SC,WEST,RURAL,MIXED,2,SAHARANPUR,24006,DALIT,BSP,0,0,n,BJP
NAKUR,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,2,KAIRANA,24002,MUSLIM,BSP,0,0,Y,BJP
GANGOH,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,2,KAIRANA,24007,MUSLIM,CONG,0,0,Y,BJP
KAIRANA,UTTAR PRADESH,GENERAL,WEST,SEMI-URBAN,MUSLIM,1,KAIRANA,24008,MUSLIM,BJP,0,0,n,BJP
THANA BHAWAN,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,1,KAIRANA,24009,MUSLIM,BJP,BJP,Y,Y,BJP
SHAMLI,UTTAR PRADESH,GENERAL,WEST,SEMI-URBAN,MUSLIM,1,KAIRANA,24010,JAT,CONG,0,Y,n,BJP
BUDHANA,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,1,MUZAFFARNAGAR,24011,MUSLIM,SP,0,Y,n,BJP
CHARTHAWAL,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,1,MUZAFFARNAGAR,24012,MUSLIM,BSP,0,Y,n,BJP
MUZAFFAR NAGAR,UTTAR PRADESH,GENERAL,WEST,URBAN,MUSLIM,1,MUZAFFARNAGAR,24014,MUSLIM,SP,0,0,Y,BJP
KHATAULI,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,1,MUZAFFARNAGAR,24015,DALIT,RLD,0,0,n,BJP
SARDHANA,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,1,MUZAFFARNAGAR,24044,MUSLIM,BJP,0,Y,Y,BJP
PURQAZI,UTTAR PRADESH,SC,WEST,RURAL,MUSLIM,1,BIJNOR,24013,DALIT,BSP,0,0,Y,BJP
MEERAPUR,UTTAR PRADESH,GENERAL,WEST,RURAL,MUSLIM,1,BIJNOR,24016,DALIT,BSP,0,Y,Y,BJP
BIJNOR,UTTAR PRADESH,GENERAL,RUHELKHAND,SEMI-URBAN,MUSLIM,2,BIJNOR,24022,MUSLIM,BJP,0,Y,n,BJP
CHANDPUR,UTTAR PRADESH,GENERAL,RUHELKHAND,RURAL,MUSLIM,2,BIJNOR,24023,MUSLIM,BSP,0,Y,Y,BJP
HASTINAPUR,UTTAR PRADESH,SC,WEST,SEMI-URBAN,MIXED,1,BIJNOR,24045,DALIT,SP,0,0,n,BJP
NAJIBABAD,UTTAR PRADESH,GENERAL,RUHELKHAND,SEMI-URBAN,MUSLIM,2,NAGINA,24017,MUSLIM,BSP,0,Y,n,SP
