CCODE,CNAME,STATE,MODI RALLY,RAHUL RALLY,KEJRIWAL RALLY
19001,SUJANPUR,PUNJAB,,,Y
19002,BHOA (SC),PUNJAB,,,Y
19003,PATHANKOT (SC),PUNJAB,,,Y
19004,GURDASPUR,PUNJAB,,,Y
19005,DINA NAGAR (SC),PUNJAB,,,Y
19006,QADIAN,PUNJAB,,,Y
19007,BATALA,PUNJAB,,,Y
19008,SRI HARGOBINDPUR (SC),PUNJAB,,,Y
19009,FATEHGARH CHURIAN,PUNJAB,,,Y
19010,DERA BABA NANAK,PUNJAB,,,Y
19011,AJNALA,PUNJAB,,Y,Y
19012,RAJA SANSI,PUNJAB,,Y,Y
19013,MAJITHA,PUNJAB,,Y,Y
19014,JANDIALA (SC),PUNJAB,,Y,Y
19015,AMRITSAR NORTH,PUNJAB,,Y,Y
19016,AMRITSAR WEST (SC),PUNJAB,,Y,Y
19017,AMRITSAR CENTRAL,PUNJAB,,Y,Y
19018,AMRITSAR EAST,PUNJAB,,Y,Y
19019,AMRITSAR SOUTH,PUNJAB,,Y,Y
19020,ATTARI (SC),PUNJAB,,Y,Y
19021,TARN TARAN,PUNJAB,,,Y
19022,KHEM KARAN,PUNJAB,,,Y
19023,PATTI,PUNJAB,,,Y
19024,KHADOOR SAHIB,PUNJAB,,,Y
19025,BABA BAKALA (SC),PUNJAB,,,Y
19026,BHOLATH,PUNJAB,,,Y
19027,KAPURTHALA,PUNJAB,,,Y
19028,SULTANPUR LODHI,PUNJAB,,,Y
19029,PHAGWARA (SC),PUNJAB,,,Y
19030,PHILLAUR (SC),PUNJAB,Y,,Y
19031,NAKODAR,PUNJAB,Y,,Y
19032,SHAHKOT,PUNJAB,Y,,Y
19033,KARTARPUR (SC),PUNJAB,Y,,Y
19034,JALANDHAR WEST (SC),PUNJAB,Y,,Y
19035,JALANDHAR CENTRAL,PUNJAB,Y,,Y
19036,JALANDHAR NORTH,PUNJAB,Y,,Y
19037,JALANDHAR CANTT.,PUNJAB,Y,,Y
19038,ADAMPUR (SC),PUNJAB,Y,,Y
19039,MUKERIAN,PUNJAB,,,Y
