2017 CCODE,CNAME,MODI RALLY,RAHUL RALLY,AKHILESH RALLY,MAYA RALLY,VOTES,VALID_VOTES,RNO,WINNER,STATE
24001,BEHAT,,y,,y,70274,221122,99,Y,UP
24002,NAKUR,,y,,y,89187,230751,99,Y,UP
24003,SAHARANPUR NAGAR,,y,,y,85170,219492,99,Y,UP
24004,SAHARANPUR,,y,,y,80670,203882,99,Y,UP
24005,DEOBAND,,y,,y,63730,188258,99,Y,UP
24006,RAMPUR MANIHARAN,,y,,y,77274,195468,99,Y,UP
24007,GANGOH,,y,,y,65149,229081,99,Y,UP
24008,KAIRANA,,Y,Y,y,80293,177767,99,Y,UP
24009,THANA BHAWAN,,Y,Y,y,53719,175117,99,Y,UP
24010,SHAMLI,,Y,Y,y,53947,168304,99,Y,UP
24011,BUDHANA,,,Y,y,68210,192413,99,Y,UP
24012,CHARTHAWAL,,,Y,y,53481,172399,99,Y,UP
24013,PURQAZI,,,Y,y,53491,167467,99,Y,UP
24014,MUZAFFAR NAGAR,,,Y,y,59169,169256,99,Y,UP
24015,KHATAULI,,,Y,y,46722,165428,99,Y,UP
24016,MEERAPUR,,,Y,y,55802,167421,99,Y,UP
24017,NAJIBABAD,Y,Y,Y,y,62473,186256,99,Y,UP
24018,NAGINA,Y,Y,Y,y,83997,182443,99,Y,UP
24019,BARHAPUR,Y,Y,Y,y,68436,202301,99,Y,UP
24020,DHAMPUR,Y,Y,Y,y,53365,161124,99,Y,UP
24021,NEHTAUR,Y,Y,Y,y,51389,164385,99,Y,UP
24022,BIJNOR,Y,Y,Y,y,68969,209385,99,Y,UP
24023,CHANDPUR,Y,Y,Y,y,54941,188165,99,Y,UP
24024,NOORPUR,Y,Y,Y,y,47566,176579,99,Y,UP
24025,KANTH,,,Y,y,37092,200721,99,Y,UP
24026,THAKURDWARA,,,Y,y,84530,220216,99,Y,UP
24027,MORADABAD RURAL,,,Y,y,72213,180626,99,Y,UP
24028,MORADABAD NAGAR,,,Y,y,88341,209449,99,Y,UP
24029,KUNDARKI,,,Y,y,81302,219528,99,Y,UP
24030,BILARI,,,Y,y,55694,189125,99,Y,UP
24031,CHANDAUSI,,Y,Y,y,55871,191900,99,Y,UP
24032,ASMOLI,,Y,Y,y,73873,208914,99,Y,UP
24033,SAMBHAL,,Y,Y,y,79820,196188,99,Y,UP
24034,SUAR,,Y,Y,y,55469,166776,99,Y,UP
24035,CHAMRAUA,,Y,Y,y,37083,170649,99,Y,UP
24036,BILASPUR,,Y,Y,y,52818,195166,99,Y,UP
24037,RAMPUR,,Y,Y,y,95772,173162,99,Y,UP
24038,MILAK,,Y,Y,y,20146,64761,99,Y,UP
24039,DHANAURA,,,y,y,55545,195722,99,Y,UP
24040,NAUGAWAN SADAT,,,y,y,55626,202510,99,Y,UP
24041,AMROHA,,,y,y,60807,176772,99,Y,UP
24042,HASANPUR,,,y,y,92843,220670,99,Y,UP
24043,SIWALKHAS,Y,Y,Y,y,58852,188172,99,Y,UP
24044,SARDHANA,Y,Y,Y,y,62432,214588,99,Y,UP
24045,HASTINAPUR,Y,Y,Y,y,46712,184590,99,Y,UP
24046,KITHORE,Y,Y,Y,y,73015,201130,99,Y,UP
24047,MEERUT CANTT.,Y,Y,Y,y,70688,202863,99,Y,UP
24048,MEERUT,Y,Y,Y,y,68068,179038,99,Y,UP
24049,MEERUT SOUTH,Y,Y,Y,y,71584,218304,99,Y,UP
24050,CHHAPRAULI,,,y,y,69230,145261,99,Y,UP
24051,BARAUT,,,y,y,57209,146222,99,Y,UP
24052,BAGHPAT,,,y,y,56957,164782,99,Y,UP
24053,LONI,Y,Y,Y,y,89603,215801,99,Y,UP
24054,MURADNAGAR,Y,Y,Y,y,48823,161863,99,Y,UP
24055,SAHIBABAD,Y,Y,Y,y,124332,333656,99,Y,UP
24056,GHAZIABAD,Y,Y,Y,y,64485,181309,99,Y,UP
24057,MODI NAGAR,Y,Y,Y,y,58635,177263,99,Y,UP
24058,DHOLANA,,Y,y,y,59160,202293,99,Y,UP
24059,HAPUR,,Y,y,y,77242,184887,99,Y,UP
24060,GARHMUKTESHWAR,,Y,y,y,82659,190925,99,Y,UP
24061,NOIDA,,,,,77226,206211,99,Y,UP
24062,DADRI,,,,,81137,199436,99,Y,UP
24063,JEWAR,,,,,67524,176944,99,Y,UP
24064,SIKANDRABAD,,Y,Y,y,45799,205320,99,Y,UP
24065,BULANDSHAHR,,Y,Y,y,76646,206160,99,Y,UP
24066,SYANA,,Y,Y,y,53887,208906,99,Y,UP
24067,ANUPSHAHR,,Y,Y,y,51761,195112,99,Y,UP
24068,DEBAI,,Y,Y,y,62969,183219,99,Y,UP
24069,SHIKARPUR,,Y,Y,y,64498,184457,99,Y,UP
24070,KHURJA,,Y,Y,y,98913,209860,99,Y,UP
24071,KHAIR,Y,Y,Y,y,90578,185745,99,Y,UP
24072,BARAULI,Y,Y,Y,y,80440,204003,99,Y,UP
24073,ATRAULI,Y,Y,Y,y,54691,205215,99,Y,UP
24074,CHHARRA,Y,Y,Y,y,54150,190796,99,Y,UP
24075,KOIL,Y,Y,Y,y,44847,176415,99,Y,UP
24076,ALIGARH,Y,Y,Y,y,68291,184820,99,Y,UP
24077,IGLAS,Y,Y,Y,y,66146,190630,99,Y,UP
24078,HATHRAS,,Y,Y,y,59161,204829,99,Y,UP
24079,SADABAD,,Y,Y,y,63741,188339,99,Y,UP
24080,SIKANDRA RAO,,Y,Y,y,94471,199861,99,Y,UP
24081,CHHATA,,Y,Y,y,94757,210097,99,Y,UP
24082,MANT,,Y,Y,y,87062,201974,99,Y,UP
24083,GOVERDHAN,,Y,Y,y,63725,183329,99,Y,UP
24084,MATHURA,,Y,Y,y,54498,200654,99,Y,UP
24085,BALDEV,,Y,Y,y,79364,191087,99,Y,UP
