ConstId,ConstName,PartyCode,CandiCode,CandiName,Votes,Abbr,CandiStatus,ValidVotes,CandiAllId,CandiMapPCode,StateCode,StateName,AllianceName,Rank
03001,Ratabari,019,2,Kripanath Mallah,53975.0,BJP,WON,112608.0,3.0,019,AS,Assam,BJP+,1
03001,Ratabari,034,1,Akhil Ranjan Talukdar,29449.0,INC,LOST,112608.0,1.0,034,AS,Assam,CONG,2
03001,Ratabari,010,3,Rajib Biswas,23926.0,AIUDF,LOST,112608.0,2.0,010,AS,Assam,AUDF,3
03001,Ratabari,359,14,Setul Chandra Namasudra,908.0,IND,LOST,112608.0,0.0,359,AS,Assam,OTH,4
03001,Ratabari,999,15,Nota,889.0,NOTA,LOST,112608.0,0.0,999,AS,Assam,OTH,5
03001,Ratabari,073,4,Nirmal Mallick,542.0,SP,LOST,112608.0,0.0,073,AS,Assam,OTH,6
03001,Ratabari,355,10,Prabir Bardhan,487.0,IND,LOST,112608.0,0.0,355,AS,Assam,OTH,7
03001,Ratabari,358,13,Sanjoy Kumar Mallah,419.0,IND,LOST,112608.0,0.0,358,AS,Assam,OTH,8
03001,Ratabari,353,8,Kalipada Biswas,380.0,IND,LOST,112608.0,0.0,353,AS,Assam,OTH,9
03001,Ratabari,356,11,Manilal Rabidas,370.0,IND,LOST,112608.0,0.0,356,AS,Assam,OTH,10
03001,Ratabari,077,5,Satyendra Namasudra,354.0,SUCI(C),LOST,112608.0,0.0,077,AS,Assam,OTH,11
03001,Ratabari,354,9,Niranjan Mallah,267.0,IND,LOST,112608.0,0.0,354,AS,Assam,OTH,12
03001,Ratabari,357,12,Ranju Roy,247.0,IND,LOST,112608.0,0.0,357,AS,Assam,OTH,13
03001,Ratabari,352,7,Umesh Malah,204.0,IND,LOST,112608.0,0.0,352,AS,Assam,OTH,14
03001,Ratabari,351,6,Amulya Namasudra,191.0,IND,LOST,112608.0,0.0,351,AS,Assam,OTH,15
03002,Patharkandi,019,2,Krishnendu Paul,46544.0,BJP,WON,122694.0,3.0,019,AS,Assam,BJP+,1
03002,Patharkandi,010,3,Debendra Kumar Sinha,37276.0,AIUDF,LOST,122694.0,2.0,010,AS,Assam,AUDF,2
03002,Patharkandi,034,4,Moni Lal Gowala,32048.0,INC,LOST,122694.0,1.0,034,AS,Assam,CONG,3
03002,Patharkandi,023,1,Kripesh Ranjan Dasgupta,1638.0,CPI(M),LOST,122694.0,0.0,023,AS,Assam,OTH,4
03002,Patharkandi,999,12,Nota,1030.0,NOTA,LOST,122694.0,0.0,999,AS,Assam,OTH,5
03002,Patharkandi,352,8,Kabir Ahmed,892.0,IND,LOST,122694.0,0.0,352,AS,Assam,OTH,6
03002,Patharkandi,355,11,Rahim Uddin Ahmed,743.0,IND,LOST,122694.0,0.0,355,AS,Assam,OTH,7
03002,Patharkandi,073,6,Misbaque Uddin,599.0,SP,LOST,122694.0,0.0,073,AS,Assam,OTH,8
03002,Patharkandi,077,5,Debangshu Nath,509.0,SUCI(C),LOST,122694.0,0.0,077,AS,Assam,OTH,9
03002,Patharkandi,351,7,Asad Uddin Ahmed,501.0,IND,LOST,122694.0,0.0,351,AS,Assam,OTH,10
03002,Patharkandi,353,9,Nitai Dey,495.0,IND,LOST,122694.0,0.0,353,AS,Assam,OTH,11
03002,Patharkandi,354,10,Nihar Ranjan Deb Nath,419.0,IND,LOST,122694.0,0.0,354,AS,Assam,OTH,12
03003,Karimganj North,034,1,Kamalakhya Dey Purkayastha,45289.0,INC,WON,130781.0,1.0,034,AS,Assam,CONG,1
03003,Karimganj North,019,2,Mission Ranjan Das,44821.0,BJP,LOST,130781.0,3.0,019,AS,Assam,BJP+,2
03003,Karimganj North,010,3,Sahabul Islam Choudhury,34207.0,AIUDF,LOST,130781.0,2.0,010,AS,Assam,AUDF,3
03003,Karimganj North,357,12,Nazrul Islam Choudhury,1704.0,IND,LOST,130781.0,0.0,357,AS,Assam,OTH,4
03003,Karimganj North,352,7,Abdul Ahad Choudhury,1052.0,IND,LOST,130781.0,0.0,352,AS,Assam,OTH,5
03003,Karimganj North,358,13,Moin Uddin,708.0,IND,LOST,130781.0,0.0,358,AS,Assam,OTH,6
03003,Karimganj North,999,16,Nota,674.0,NOTA,LOST,130781.0,0.0,999,AS,Assam,OTH,7
03003,Karimganj North,077,4,Arunangshu Bhattacharjee,468.0,SUCI(C),LOST,130781.0,0.0,077,AS,Assam,OTH,8
03003,Karimganj North,359,14,Muhammad Muhsin Alam,420.0,IND,LOST,130781.0,0.0,359,AS,Assam,OTH,9
03003,Karimganj North,360,15,Sibir Ahmed,265.0,IND,LOST,130781.0,0.0,360,AS,Assam,OTH,10
03003,Karimganj North,018,5,Bikash Kanti Roy,253.0,BGANP,LOST,130781.0,0.0,018,AS,Assam,OTH,11
03003,Karimganj North,356,11,Deepan Nath,241.0,IND,LOST,130781.0,0.0,356,AS,Assam,OTH,12
03003,Karimganj North,354,9,Kaysar Ahmed Choudhury,237.0,IND,LOST,130781.0,0.0,354,AS,Assam,OTH,13
03003,Karimganj North,353,8,Amjad Hussain,161.0,IND,LOST,130781.0,0.0,353,AS,Assam,OTH,14
03003,Karimganj North,355,10,Taj Uddin Choudhury,144.0,IND,LOST,130781.0,0.0,355,AS,Assam,OTH,15
03003,Karimganj North,351,6,Arun Kumar Das,137.0,IND,LOST,130781.0,0.0,351,AS,Assam,OTH,16
03004,Karimganj South,010,1,Aziz Ahmed Khan,58060.0,AIUDF,WON,128442.0,2.0,010,AS,Assam,AUDF,1
