ConstId,ConstName,PartyCode,CandiCode,CandiName,Votes,Abbr,CandiStatus,ValidVotes,CandiAllId,CandiMapPCode,StateCode,StateName,AllianceName,Rank
3001,BEHAT,19,2,Kripanath Mallah,53975,BJP,WON,112608,3,19,AS,Uttar Pradesh,BJP+,1
3001,BEHAT,34,1,Akhil Ranjan Talukdar,29449,INC,LOST,112608,1,34,AS,Uttar Pradesh,CONG,2
3001,BEHAT,10,3,Rajib Biswas,23926,AIUDF,LOST,112608,2,10,AS,Uttar Pradesh,AUDF,3
3001,BEHAT,359,14,Setul Chandra Namasudra,908,IND,LOST,112608,0,359,AS,Uttar Pradesh,OTH,4
3001,BEHAT,999,15,Nota,889,NOTA,LOST,112608,0,999,AS,Uttar Pradesh,OTH,5
3001,BEHAT,73,4,Nirmal Mallick,542,SP,LOST,112608,0,73,AS,Uttar Pradesh,OTH,6
3001,BEHAT,355,10,Prabir Bardhan,487,IND,LOST,112608,0,355,AS,Uttar Pradesh,OTH,7
3001,BEHAT,358,13,Sanjoy Kumar Mallah,419,IND,LOST,112608,0,358,AS,Uttar Pradesh,OTH,8
3001,BEHAT,353,8,Kalipada Biswas,380,IND,LOST,112608,0,353,AS,Uttar Pradesh,OTH,9
3001,BEHAT,356,11,Manilal Rabidas,370,IND,LOST,112608,0,356,AS,Uttar Pradesh,OTH,10
3001,BEHAT,77,5,Satyendra Namasudra,354,SUCI(C),LOST,112608,0,77,AS,Uttar Pradesh,OTH,11
3001,BEHAT,354,9,Niranjan Mallah,267,IND,LOST,112608,0,354,AS,Uttar Pradesh,OTH,12
3001,BEHAT,357,12,Ranju Roy,247,IND,LOST,112608,0,357,AS,Uttar Pradesh,OTH,13
3001,BEHAT,352,7,Umesh Malah,204,IND,LOST,112608,0,352,AS,Uttar Pradesh,OTH,14
3001,BEHAT,351,6,Amulya Namasudra,191,IND,LOST,112608,0,351,AS,Uttar Pradesh,OTH,15
3002,SAHARANPUR NAGAR,19,2,Krishnendu Paul,46544,BJP,WON,122694,3,19,AS,Uttar Pradesh,BJP+,1
3002,SAHARANPUR NAGAR,10,3,Debendra Kumar Sinha,37276,AIUDF,LOST,122694,2,10,AS,Uttar Pradesh,AUDF,2
3002,SAHARANPUR NAGAR,34,4,Moni Lal Gowala,32048,INC,LOST,122694,1,34,AS,Uttar Pradesh,CONG,3
3002,SAHARANPUR NAGAR,23,1,Kripesh Ranjan Dasgupta,1638,CPI(M),LOST,122694,0,23,AS,Uttar Pradesh,OTH,4
3002,SAHARANPUR NAGAR,999,12,Nota,1030,NOTA,LOST,122694,0,999,AS,Uttar Pradesh,OTH,5
3002,SAHARANPUR NAGAR,352,8,Kabir Ahmed,892,IND,LOST,122694,0,352,AS,Uttar Pradesh,OTH,6
3002,SAHARANPUR NAGAR,355,11,Rahim Uddin Ahmed,743,IND,LOST,122694,0,355,AS,Uttar Pradesh,OTH,7
3002,SAHARANPUR NAGAR,73,6,Misbaque Uddin,599,SP,LOST,122694,0,73,AS,Uttar Pradesh,OTH,8
3002,SAHARANPUR NAGAR,77,5,Debangshu Nath,509,SUCI(C),LOST,122694,0,77,AS,Uttar Pradesh,OTH,9
